Cost,Location,Provider,Rooms,Metres,Url
1635 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,62 m2,https://www.immowelt.de/expose/13ec9223-00b1-4e53-83e5-87fd68e9c9bc
641 Ä,"Habichtsweg 3, Barmbek - Nord, Hamburg (22307)",EB IMMOBILIENMANAGEMENT GmbH,1 Zimmer,87 m2,https://www.immowelt.de/expose/44d39250-378a-484b-80d0-04c611954c54
2400 Ä,"Breite Straﬂe, Altona - Altstadt, Hamburg (22767)",City-Wohnen,2 Zimmer,66 m2,https://www.immowelt.de/expose/131fdc35-3654-478e-aedd-34324d57de4c
,"Gl¸cksburger Straﬂe, Altona - Nord, Hamburg (22769)",von privat,3 Zimmer,74 m2,https://www.immowelt.de/expose/11353a2a-250b-4b2a-a8e6-0ddf0d8fc236
1345 Ä,"Elligersweg 2, Barmbek - Nord, Hamburg (22307)",IFI Falkenried Immobilien Verwaltungs GmbH,3 Zimmer,84 m2,https://www.immowelt.de/expose/e980f3c6-ed05-4d9a-95ac-54125990a864
1541 Ä,"Fuhlsb¸ttler Straﬂe 468, Barmbek - Nord, Hamburg (22309)",Braun Immobilienkontor,3 Zimmer,"87,9 m2",https://www.immowelt.de/expose/7a43b9a0-4e95-436a-94fa-3deb89b40f4a
1312.5 Ä,"Holstenstraﬂe 194c, Altona - Nord, Hamburg (22765)",Mˆhring Immobilien GmbH & Co. KG,"1,5 Zimmer",75 m2,https://www.immowelt.de/expose/215b136e-e17c-486c-8fa6-6b671c58c620
899 Ä,"Hebebrandstr. 2, Barmbek - Nord, Hamburg (22297)",ZBVV - Zentral Boden Vermietung und Verwaltung GmbH,1 Zimmer,"37,4 m2",https://www.immowelt.de/expose/bd2c35dc-4427-4a71-9b27-38f37888224c
1230 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,"1,5 Zimmer",44 m2,https://www.immowelt.de/expose/001ee147-98ea-43c7-9e8f-946c24a57c61
1129 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,37 m2,https://www.immowelt.de/expose/a4938819-bc91-493f-af04-244aa2997523
1158 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,33 m2,https://www.immowelt.de/expose/c41f2be4-88a4-4b9d-86d5-0eabce4204ef
1178 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,33 m2,https://www.immowelt.de/expose/45a151ba-11c3-4d3b-a1ff-a1eb19199d1c
917 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,22 m2,https://www.immowelt.de/expose/3e69df9e-8f9d-4d2f-bb17-d2b17b9e315d
1108 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,33 m2,https://www.immowelt.de/expose/5e852032-6001-4af1-a8a1-97af3744c5a3
1980 Ä,"Alsterdorfer Strasse 333, Alsterdorf, Hamburg (22297)",von privat,4 Zimmer,101 m2,https://www.immowelt.de/expose/68d99dba-ca3e-44c5-b10d-9cec4c95008e
750 Ä,"Schwalbenplatz 3, Barmbek - Nord, Hamburg (22307)",ohne-makler.net - Immobilien selbst vermarkten,1 Zimmer,40 m2,https://www.immowelt.de/expose/b75d20dd-be1d-44a0-b4e3-a72049770b9e
1158 Ä,"Oeverseestraﬂe 7, Altona - Nord, Hamburg (22769)",International Campus GmbH,1 Zimmer,33 m2,https://www.immowelt.de/expose/14271b32-e355-452d-9183-cbd08554f258
